customerID,Churn,Churn_label,tenure,MonthlyCharges,Contract,InternetService,TechSupport,OnlineSecurity,PaymentMethod
7590-VHVEG,No,0,1,29.85,Month-to-month,DSL,No,No,Electronic check
5575-GNVDE,No,0,34,56.95,One year,DSL,No,Yes,Mailed check
3668-QPYBK,Yes,1,2,53.85,Month-to-month,DSL,No,Yes,Mailed check
7795-CFOCW,No,0,45,42.3,One year,DSL,Yes,Yes,Bank transfer (automatic)
9237-HQITU,Yes,1,2,70.7,Month-to-month,Fiber optic,No,No,Electronic check
9305-CDSKC,Yes,1,8,99.65,Month-to-month,Fiber optic,No,No,Electronic check
1452-KIOVK,No,0,22,89.1,Month-to-month,Fiber optic,No,No,Credit card (automatic)
6713-OKOMC,No,0,10,29.75,Month-to-month,DSL,No,Yes,Mailed check
7892-POOKP,Yes,1,28,104.8,Month-to-month,Fiber optic,Yes,No,Electronic check
6388-TABGU,No,0,62,56.15,One year,DSL,No,Yes,Bank transfer (automatic)
9763-GRSKD,No,0,13,49.95,Month-to-month,DSL,No,Yes,Mailed check
7469-LKBCI,No,0,16,18.95,Two year,No,No internet service,No internet service,Credit card (automatic)
8091-TTVAX,No,0,58,100.35,One year,Fiber optic,No,No,Credit card (automatic)
0280-XJGEX,Yes,1,49,103.7,Month-to-month,Fiber optic,No,No,Bank transfer (automatic)
5129-JLPIS,No,0,25,105.5,Month-to-month,Fiber optic,Yes,Yes,Electronic check
3655-SNQYZ,No,0,69,113.25,Two year,Fiber optic,Yes,Yes,Credit card (automatic)
8191-XWSZG,No,0,52,20.65,One year,No,No internet service,No internet service,Mailed check
9959-WOFKT,No,0,71,106.7,Two year,Fiber optic,No,Yes,Bank transfer (automatic)
4190-MFLUW,Yes,1,10,55.2,Month-to-month,DSL,Yes,No,Credit card (automatic)
4183-MYFRB,No,0,21,90.05,Month-to-month,Fiber optic,No,No,Electronic check
8779-QRDMV,Yes,1,1,39.65,Month-to-month,DSL,No,No,Electronic check
1680-VDCWW,No,0,12,19.8,One year,No,No internet service,No internet service,Bank transfer (automatic)
1066-JKSGK,Yes,1,1,20.15,Month-to-month,No,No internet service,No internet service,Mailed check
3638-WEABW,No,0,58,59.9,Two year,DSL,Yes,No,Credit card (automatic)
6322-HRPFA,No,0,49,59.6,Month-to-month,DSL,Yes,Yes,Credit card (automatic)
6865-JZNKO,No,0,30,55.3,Month-to-month,DSL,No,Yes,Bank transfer (automatic)
6467-CHFZW,Yes,1,47,99.35,Month-to-month,Fiber optic,No,No,Electronic check
8665-UTDHZ,Yes,1,1,30.2,Month-to-month,DSL,No,No,Electronic check
5248-YGIJN,No,0,72,90.25,Two year,DSL,Yes,Yes,Credit card (automatic)
8773-HHUOZ,Yes,1,17,64.7,Month-to-month,DSL,No,No,Mailed check
3841-NFECX,No,0,71,96.35,Two year,Fiber optic,Yes,Yes,Credit card (automatic)
4929-XIHVW,No,0,2,95.5,Month-to-month,Fiber optic,No,No,Credit card (automatic)
6827-IEAUQ,No,0,27,66.15,One year,DSL,Yes,Yes,Mailed check
7310-EGVHZ,No,0,1,20.2,Month-to-month,No,No internet service,No internet service,Bank transfer (automatic)
3413-BMNZE,No,0,1,45.25,Month-to-month,DSL,No,No,Bank transfer (automatic)
6234-RAAPL,No,0,72,99.9,Two year,Fiber optic,Yes,Yes,Bank transfer (automatic)
6047-YHPVI,Yes,1,5,69.7,Month-to-month,Fiber optic,No,No,Electronic check
6572-ADKRS,No,0,46,74.8,Month-to-month,Fiber optic,No,No,Credit card (automatic)
5380-WJKOV,Yes,1,34,106.35,Month-to-month,Fiber optic,No,No,Electronic check
8168-UQWWF,Yes,1,11,97.85,Month-to-month,Fiber optic,No,No,Bank transfer (automatic)
8865-TNMNX,No,0,10,49.55,One year,DSL,No,No,Mailed check
9489-DEDVP,No,0,70,69.2,Two year,DSL,No,Yes,Credit card (automatic)
9867-JCZSP,No,0,17,20.75,One year,No,No internet service,No internet service,Mailed check
4671-VJLCL,No,0,63,79.85,Two year,DSL,Yes,Yes,Credit card (automatic)
4080-IIARD,No,0,13,76.2,Month-to-month,DSL,Yes,Yes,Electronic check
3714-NTNFO,No,0,49,84.5,Month-to-month,Fiber optic,No,No,Electronic check
5948-UJZLF,No,0,2,49.25,Month-to-month,DSL,No,No,Mailed check
7760-OYPDY,Yes,1,2,80.65,Month-to-month,Fiber optic,No,No,Electronic check
7639-LIAYI,No,0,52,79.75,Two year,DSL,Yes,Yes,Credit card (automatic)
2954-PIBKO,No,0,69,64.15,Two year,DSL,Yes,Yes,Credit card (automatic)
8012-SOUDQ,No,0,43,90.25,Month-to-month,Fiber optic,No,No,Electronic check
9420-LOJKX,Yes,1,15,99.1,Month-to-month,Fiber optic,No,Yes,Credit card (automatic)
6575-SUVOI,No,0,25,69.5,Month-to-month,DSL,Yes,Yes,Credit card (automatic)
7495-OOKFY,Yes,1,8,80.65,Month-to-month,Fiber optic,No,No,Credit card (automatic)
