customerID,Churn,churn_prob,churn_predicted,kmeans_cluster,kmeans_label,priority,action_type,recommendation
7590-VHVEG,No,0.793057366049512,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
5575-GNVDE,No,0.1075145733741595,0,0,Insatisfeito com serviços,Baixa,Desconto personalizado,Campanha de satisfação + revisão periódica do plano + desconto personalizado
3668-QPYBK,Yes,0.5207530589926357,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
7795-CFOCW,No,0.060388328132509966,0,0,Insatisfeito com serviços,Baixa,Desconto personalizado,Campanha de satisfação + revisão periódica do plano + desconto personalizado
9237-HQITU,Yes,0.8665028873476368,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
9305-CDSKC,Yes,0.9106687030905349,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
1452-KIOVK,No,0.7056878983505515,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
6713-OKOMC,No,0.496517617270536,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
7892-POOKP,Yes,0.8203347854852643,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
6388-TABGU,No,0.02702511741963066,0,0,Insatisfeito com serviços,Baixa,Desconto personalizado,Campanha de satisfação + revisão periódica do plano + desconto personalizado
9763-GRSKD,No,0.3951282022916704,0,0,Insatisfeito com serviços,Média,Campanha segmentada,Revisão de plano + campanha segmentada + ajuste de pacote (custo-benefício)
7469-LKBCI,No,0.0737586388325204,0,1,Econômico estável,Baixa,Upsell de serviço,Upsell de serviços adicionais + cross-sell gradual + programa de fidelidade
8091-TTVAX,No,0.4145843526841048,0,0,Insatisfeito com serviços,Média,Campanha segmentada,Revisão de plano + campanha segmentada + ajuste de pacote (custo-benefício)
0280-XJGEX,Yes,0.6844481234231544,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
5129-JLPIS,No,0.7194705384805914,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
3655-SNQYZ,No,0.07826545482349373,0,0,Insatisfeito com serviços,Baixa,Desconto personalizado,Campanha de satisfação + revisão periódica do plano + desconto personalizado
8191-XWSZG,No,0.0289671621176645,0,1,Econômico estável,Baixa,Upsell de serviço,Upsell de serviços adicionais + cross-sell gradual + programa de fidelidade
9959-WOFKT,No,0.11793892906641382,0,0,Insatisfeito com serviços,Baixa,Desconto personalizado,Campanha de satisfação + revisão periódica do plano + desconto personalizado
4190-MFLUW,Yes,0.2747655328501658,0,0,Insatisfeito com serviços,Média,Campanha segmentada,Revisão de plano + campanha segmentada + ajuste de pacote (custo-benefício)
4183-MYFRB,No,0.7706977505232548,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
8779-QRDMV,Yes,0.8701641916923862,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
1680-VDCWW,No,0.16016130615559418,0,1,Econômico estável,Baixa,Upsell de serviço,Upsell de serviços adicionais + cross-sell gradual + programa de fidelidade
1066-JKSGK,Yes,0.4180281387907068,0,1,Econômico estável,Média,Retenção preventiva,Monitoramento preventivo + alertas se comportamento mudar para perfil de alto risco
3638-WEABW,No,0.04173528993003899,0,0,Insatisfeito com serviços,Baixa,Desconto personalizado,Campanha de satisfação + revisão periódica do plano + desconto personalizado
6322-HRPFA,No,0.06133596284898076,0,0,Insatisfeito com serviços,Baixa,Desconto personalizado,Campanha de satisfação + revisão periódica do plano + desconto personalizado
6865-JZNKO,No,0.25314286370279404,0,0,Insatisfeito com serviços,Média,Campanha segmentada,Revisão de plano + campanha segmentada + ajuste de pacote (custo-benefício)
6467-CHFZW,Yes,0.7524901733392618,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
8665-UTDHZ,Yes,0.6601907884999655,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
5248-YGIJN,No,0.04512104706098264,0,0,Insatisfeito com serviços,Baixa,Desconto personalizado,Campanha de satisfação + revisão periódica do plano + desconto personalizado
8773-HHUOZ,Yes,0.5918672817575918,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
3841-NFECX,No,0.07577351228560078,0,0,Insatisfeito com serviços,Baixa,Desconto personalizado,Campanha de satisfação + revisão periódica do plano + desconto personalizado
4929-XIHVW,No,0.8769950606820701,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
6827-IEAUQ,No,0.056221394886067234,0,0,Insatisfeito com serviços,Baixa,Desconto personalizado,Campanha de satisfação + revisão periódica do plano + desconto personalizado
7310-EGVHZ,No,0.40175833639355524,0,1,Econômico estável,Média,Retenção preventiva,Monitoramento preventivo + alertas se comportamento mudar para perfil de alto risco
3413-BMNZE,No,0.6202004299820253,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
6234-RAAPL,No,0.05064976042243437,0,0,Insatisfeito com serviços,Baixa,Desconto personalizado,Campanha de satisfação + revisão periódica do plano + desconto personalizado
6047-YHPVI,Yes,0.859621784139807,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
6572-ADKRS,No,0.4897416895155382,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
5380-WJKOV,Yes,0.830063360535715,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
8168-UQWWF,Yes,0.8555589778354814,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
8865-TNMNX,No,0.2191476472229164,0,0,Insatisfeito com serviços,Baixa,Desconto personalizado,Campanha de satisfação + revisão periódica do plano + desconto personalizado
9489-DEDVP,No,0.030767545579139965,0,0,Insatisfeito com serviços,Baixa,Desconto personalizado,Campanha de satisfação + revisão periódica do plano + desconto personalizado
9867-JCZSP,No,0.10249608670959925,0,1,Econômico estável,Baixa,Upsell de serviço,Upsell de serviços adicionais + cross-sell gradual + programa de fidelidade
4671-VJLCL,No,0.03360169846603456,0,0,Insatisfeito com serviços,Baixa,Desconto personalizado,Campanha de satisfação + revisão periódica do plano + desconto personalizado
4080-IIARD,No,0.5443584901121366,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
3714-NTNFO,No,0.7422046928187674,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
5948-UJZLF,No,0.5241007612243069,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
7760-OYPDY,Yes,0.8899994250383697,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
7639-LIAYI,No,0.09846125978846908,0,0,Insatisfeito com serviços,Baixa,Desconto personalizado,Campanha de satisfação + revisão periódica do plano + desconto personalizado
2954-PIBKO,No,0.01526549217513256,0,0,Insatisfeito com serviços,Baixa,Desconto personalizado,Campanha de satisfação + revisão periódica do plano + desconto personalizado
8012-SOUDQ,No,0.7727563138867078,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
9420-LOJKX,Yes,0.7203235688502228,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
6575-SUVOI,No,0.43990306652433214,0,0,Insatisfeito com serviços,Média,Campanha segmentada,Revisão de plano + campanha segmentada + ajuste de pacote (custo-benefício)
7495-OOKFY,Yes,0.8076751173849709,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
4667-QONEA,No,0.04811894200951839,0,0,Insatisfeito com serviços,Baixa,Desconto personalizado,Campanha de satisfação + revisão periódica do plano + desconto personalizado
1658-BYGOY,Yes,0.922965395225597,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
8769-KKTPH,No,0.3466632471748203,0,0,Insatisfeito com serviços,Média,Campanha segmentada,Revisão de plano + campanha segmentada + ajuste de pacote (custo-benefício)
5067-XJQFU,No,0.4118938045846761,0,0,Insatisfeito com serviços,Média,Campanha segmentada,Revisão de plano + campanha segmentada + ajuste de pacote (custo-benefício)
3957-SQXML,No,0.03133854597596605,0,1,Econômico estável,Baixa,Upsell de serviço,Upsell de serviços adicionais + cross-sell gradual + programa de fidelidade
5954-BDFSG,No,0.2288039612759249,0,0,Insatisfeito com serviços,Baixa,Desconto personalizado,Campanha de satisfação + revisão periódica do plano + desconto personalizado
0434-CSFON,No,0.8103238589610577,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
1215-FIGMP,No,0.5597984056404386,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
0526-SXDJP,No,0.012227809101119428,0,0,Insatisfeito com serviços,Baixa,Desconto personalizado,Campanha de satisfação + revisão periódica do plano + desconto personalizado
0557-ASKVU,No,0.16928801997209814,0,0,Insatisfeito com serviços,Baixa,Desconto personalizado,Campanha de satisfação + revisão periódica do plano + desconto personalizado
5698-BQJOH,Yes,0.8869959466273158,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
5122-CYFXA,No,0.7110920470197312,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
8627-ZYGSZ,No,0.4713806569307511,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
3410-YOQBQ,No,0.0881902400276112,0,0,Insatisfeito com serviços,Baixa,Desconto personalizado,Campanha de satisfação + revisão periódica do plano + desconto personalizado
3170-NMYVV,No,0.01032099209540995,0,1,Econômico estável,Baixa,Upsell de serviço,Upsell de serviços adicionais + cross-sell gradual + programa de fidelidade
7410-OIEDU,No,0.6730481803943908,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
2273-QCKXA,No,0.4906984104875732,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
0731-EBJQB,No,0.046415324090573015,0,1,Econômico estável,Baixa,Upsell de serviço,Upsell de serviços adicionais + cross-sell gradual + programa de fidelidade
1891-QRQSA,No,0.16954890861466218,0,0,Insatisfeito com serviços,Baixa,Desconto personalizado,Campanha de satisfação + revisão periódica do plano + desconto personalizado
8028-PNXHQ,No,0.012970330560637282,0,1,Econômico estável,Baixa,Upsell de serviço,Upsell de serviços adicionais + cross-sell gradual + programa de fidelidade
5630-AHZIL,No,0.424488609793354,0,0,Insatisfeito com serviços,Média,Campanha segmentada,Revisão de plano + campanha segmentada + ajuste de pacote (custo-benefício)
2673-CXQEU,No,0.44445261281106063,0,0,Insatisfeito com serviços,Média,Campanha segmentada,Revisão de plano + campanha segmentada + ajuste de pacote (custo-benefício)
6416-JNVRK,No,0.15011484226337168,0,0,Insatisfeito com serviços,Baixa,Desconto personalizado,Campanha de satisfação + revisão periódica do plano + desconto personalizado
5590-ZSKRV,No,0.2878052957796167,0,0,Insatisfeito com serviços,Média,Campanha segmentada,Revisão de plano + campanha segmentada + ajuste de pacote (custo-benefício)
0191-ZHSKZ,No,0.5666182294462684,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
3887-PBQAO,No,0.058283912951686834,0,1,Econômico estável,Baixa,Upsell de serviço,Upsell de serviços adicionais + cross-sell gradual + programa de fidelidade
5919-TMRGD,Yes,0.8567908087233734,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
8108-UXRQN,No,0.6391013148428735,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
9191-MYQKX,Yes,0.7423776125381689,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
9919-YLNNG,No,0.545751542447516,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
0318-ZOPWS,No,0.022687011426684982,0,1,Econômico estável,Baixa,Upsell de serviço,Upsell de serviços adicionais + cross-sell gradual + programa de fidelidade
4445-ZJNMU,No,0.863381118769924,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
4808-YNLEU,No,0.20102238549067114,0,0,Insatisfeito com serviços,Baixa,Desconto personalizado,Campanha de satisfação + revisão periódica do plano + desconto personalizado
1862-QRWPE,No,0.011935415463642365,0,1,Econômico estável,Baixa,Upsell de serviço,Upsell de serviços adicionais + cross-sell gradual + programa de fidelidade
2796-NNUFI,No,0.020196838109747536,0,1,Econômico estável,Baixa,Upsell de serviço,Upsell de serviços adicionais + cross-sell gradual + programa de fidelidade
3016-KSVCP,No,0.4712964840206523,1,0,Insatisfeito com serviços,Alta,Contato prioritário,Contato proativo + upgrade para contrato anual (15-20% desconto) + suporte técnico gratuito por 3 meses + revisão de pacote
4767-HZZHQ,No,0.38843112962245796,0,0,Insatisfeito com serviços,Média,Campanha segmentada,Revisão de plano + campanha segmentada + ajuste de pacote (custo-benefício)
